MatrixSize,Bandwidth_GBps
100, 3.178218
135, 11.045237
170, 189.116507
205, 190.085598
240, 191.792447
275, 193.748383
310, 195.436494
345, 196.696778
380, 197.210825
415, 196.994138
450, 197.042760
485, 197.243056
520, 197.564640
555, 197.206099
590, 199.506854
625, 239.868626
660, 244.412712
695, 245.849323
730, 246.751352
765, 195.414732
800, 198.645768
835, 197.615492
870, 195.661990
905, 193.327655
940, 193.066013
975, 190.776765
