MatrixSize,Bandwidth_GBps
100, 221.353362
135, 226.444418
170, 232.646700
205, 237.579546
240, 241.311870
275, 240.230737
310, 241.662065
345, 244.090918
380, 245.417764
415, 243.718070
450, 245.351993
485, 245.238982
520, 247.032657
555, 245.499063
590, 246.867709
625, 246.803983
660, 246.144256
695, 243.791708
730, 242.223738
765, 239.367481
800, 238.840741
835, 236.391381
870, 232.037907
905, 229.917259
940, 227.392388
975, 225.196791
