MatrixSize,GFlops
100, 89.280884
300, 224.769567
500, 252.100252
700, 247.602006
900, 252.461534
1100, 215.007674
1300, 223.191956
1500, 225.440303
1700, 214.634836
1900, 216.607751
2100, 214.440005
2300, 220.431324
2500, 212.464866
2700, 226.087383
2900, 207.305267
3100, 214.661122
3300, 214.315953
3500, 214.637468
3700, 215.385626
3900, 222.840498
4100, 242.856862
4300, 215.677426
4500, 208.824531
4700, 205.876146
4900, 211.361240
