MatrixSize,GFlops
100, 0.024228
300, 232.687410
500, 854.735921
700, 1548.525740
900, 2313.037408
1100, 2470.889084
1300, 2697.007696
1500, 2911.243308
1700, 2908.065071
1900, 3122.453532
2100, 3044.774559
2300, 3226.850194
2500, 3156.253857
2700, 3095.855198
2900, 3209.481399
3100, 3169.008372
3300, 3302.916970
3500, 3247.215782
3700, 3294.114770
3900, 5679.444435
4100, 5299.133352
4300, 5318.945392
4500, 4839.074551
4700, 5260.136826
4900, 5271.465296
