Size,GB/s
10000,43.4516
11008,48.0025
12112,53.1366
13328,58.3326
14664,63.9552
16136,70.3402
17752,76.8071
19528,84.621
21488,93.4771
23640,102.115
26008,112.784
28616,124.901
31480,136.132
34632,150.781
38096,167.01
41912,181.232
46104,199.387
50720,218.905
55800,242.252
61384,266.439
67528,290.736
74288,322.059
81720,356.849
89896,393.471
98888,428.41
108784,459.988
119664,496.045
131632,507.616
144800,533.179
159288,566.149
175224,582.093
192752,611.729
212032,625.789
233240,661.515
256568,675.049
282232,713.146
310456,734.717
341504,593.564
375656,295.016
413224,243.024
454552,242.094
500008,243.177
550016,242.516
605024,240.399
665528,241.1
732088,242.907
805304,244.791
885840,245.366
974432,245.92
1071880,246.45
1179072,247.424
1296984,248.392
1426688,248.952
1569360,249.953
1726304,249.913
1898936,250.195
2088832,250.803
2297720,252.015
2527496,252.632
2780248,253.086
3058280,253.379
3364112,253.77
3700528,254.119
4070584,254.308
4477648,254.32
4925416,254.641
5417960,254.928
5959760,255.27
6555744,255.39
7211320,255.671
7932456,255.437
8725704,255.848
9598280,255.728
10558112,255.88
11613928,255.629
12775328,256.044
14052864,256.263
15458152,255.961
17003968,256.343
18704368,256.284
20574808,256.266
22632296,256.461
24895528,256.441
27385088,256.539
30123600,256.242
33135968,256.547
36449568,256.562
40094528,256.425
44103984,256.714
48514384,256.712
53365824,256.472
58702408,256.428
64572656,262.058
71029928,257.683
78132928,256.663
85946224,256.938
94540848,256.714
103994936,256.791
114394432,256.971
125833880,256.986
138417272,257.078
152259000,256.936
167484904,256.716
184233400,257.005
202656744,257.198
222922424,257.192
245214672,257.075
269736144,257.147
296709760,257.112
326380744,257.196
359018824,257.171
394920712,263.753
434412784,262.655
477854064,262.886
525639472,262.029
578203424,262.117
636023768,262.155
699626152,264.001
769588768,262.66
846547648,262.084
931202416,262.166
