Size,GB/s
8,26.0618
16,40.8629
24,47.3845
32,51.5233
40,54.6461
48,56.6076
56,58.285
64,59.6054
72,60.8035
80,61.7101
96,63.0922
112,64.2409
128,64.9923
144,52.1264
160,66.2002
184,66.7878
208,67.3183
232,67.8256
256,62.8118
288,61.0734
320,61.6558
360,62.628
400,63.4272
448,64.2208
496,64.8749
552,65.5042
608,66.0267
672,66.5248
744,66.9974
824,67.422
912,67.8103
1008,68.159
1112,68.4718
1224,68.7526
1352,69.0178
1488,69.2507
1640,69.4669
1808,69.6636
1992,69.841
2192,70.0007
2416,70.1474
2664,70.2086
2936,57.3463
3232,50.8758
3560,48.2011
3920,50.1641
4320,50.8474
4760,51.7346
5240,51.4911
5768,51.7407
6352,51.3919
6992,50.9859
7696,47.2469
8472,50.9567
9320,50.9862
10256,43.4032
11288,42.8805
12424,49.8952
13672,49.8474
15040,48.5834
16552,48.3725
18208,46.3523
20032,45.4677
22040,41.1122
24248,41.6093
26680,37.0636
29352,31.7311
32288,30.3922
35520,28.1433
39080,27.6302
42992,27.5427
47296,27.5227
52032,27.5084
57240,27.5263
62968,27.5462
69272,27.5381
76200,27.5398
83824,27.5408
92208,27.5309
101432,27.543
111576,27.5332
122736,27.5216
135016,27.5208
148520,27.5038
163376,27.4907
179720,27.4466
197696,27.3571
217472,27.2661
239224,27.2112
263152,27.2066
289472,27.217
318424,27.2274
350272,27.2296
385304,27.2329
423840,27.2517
466232,27.2466
512856,27.2413
564144,27.2414
620560,27.2485
682624,27.2533
750888,27.2499
825984,27.2405
908584,27.2477
999448,26.9213
1099400,25.3544
1209344,25.0379
1330280,24.2292
1463312,19.8749
1609648,18.6161
1770616,16.9489
1947680,15.4284
2142456,14.3124
2356704,13.4936
2592376,13.1034
2851616,12.8124
3136784,12.5979
3450464,12.4862
3795512,12.3994
4175064,12.3182
4592576,12.3191
5051840,12.3326
5557032,12.3243
6112736,12.3154
6724016,12.3031
7396424,12.2919
8136072,12.309
8949680,12.3144
9844656,12.3134
10829128,12.2952
11912048,12.3015
13103256,12.3009
14413584,12.2997
15854944,12.3142
17440440,12.3002
19184488,12.2949
21102944,12.2966
23213240,12.3125
25534568,12.307
28088032,12.3002
30896840,12.2953
33986528,12.3123
37385184,12.3168
41123704,12.2882
45236080,12.2904
49759696,12.3153
54735672,12.322
60209240,12.3082
66230168,12.3078
72853192,12.3309
80138512,12.3213
88152368,12.3116
96967608,12.2889
