Size,GB/s
10000,41.3839
11008,45.9807
12112,50.6504
13328,55.358
14664,60.2935
16136,67.0512
17752,73.6694
19528,80.9559
21488,89.8639
23640,98.0214
26008,108.621
28616,118.889
31480,130.394
34632,143.667
38096,159.035
41912,173.546
46104,189.143
50720,210.7
55800,229.505
61384,252.146
67528,277.834
74288,302.808
81720,336.413
89896,374.22
98888,396.293
108784,424.37
119664,453.196
131632,461.379
144800,488.04
159288,500.574
175224,527.261
192752,539.1
212032,567.397
233240,579.479
256568,595.605
282232,613.806
310456,634.166
341504,513.083
375656,292.413
413224,242.353
454552,238.779
500008,239.008
550016,239.023
605024,238.583
665528,240.374
732088,241.603
805304,244.758
885840,244.439
974432,244.923
1071880,245.886
1179072,245.695
1296984,247.642
1426688,248.025
1569360,248.858
1726304,249.203
1898936,249.56
2088832,249.833
2297720,251.637
2527496,252.084
2780248,252.031
3058280,252.395
3364112,252.774
3700528,253.123
4070584,253.345
4477648,253.418
4925416,253.898
5417960,254.103
5959760,254.565
6555744,254.268
7211320,255.397
7932456,255.078
8725704,254.836
9598280,254.61
10558112,254.887
11613928,254.509
12775328,254.933
14052864,255.401
15458152,254.979
17003968,255.455
18704368,255.396
20574808,255.507
22632296,255.367
24895528,255.77
27385088,255.585
30123600,255.353
33135968,255.456
36449568,255.631
40094528,255.332
44103984,255.665
48514384,255.713
53365824,255.571
58702408,255.739
64572656,255.763
71029928,255.242
78132928,254.894
85946224,256.18
94540848,255.945
103994936,255.829
114394432,256.009
125833880,255.981
138417272,256.044
152259000,256.01
167484904,256.135
184233400,256.435
202656744,256.272
222922424,256.246
245214672,256.211
269736144,256.286
296709760,256.17
326380744,256.285
359018824,256.216
394920712,261.635
434412784,257.543
477854064,258.148
525639472,259.822
578203424,257.36
636023768,259.239
699626152,257.281
769588768,258.184
846547648,257.262
931202416,262.256
