Size,GB/s
10000,43.4693
11008,48.3116
12112,52.525
13328,57.6687
14664,63.4762
16136,70.597
17752,76.5637
19528,84.7204
21488,92.5741
23640,102.614
26008,112.905
28616,123.602
31480,136.506
34632,151.261
38096,165.232
41912,179.553
46104,199.824
50720,220.97
55800,241.791
61384,264.96
67528,292.207
74288,321.76
81720,354.042
89896,374.889
98888,400.868
108784,432.528
119664,466.581
131632,461.565
144800,491.273
159288,521.537
175224,527.661
192752,559.263
212032,558.192
233240,593.166
256568,605.521
282232,646.603
310456,656.376
341504,553.428
375656,295.334
413224,243.13
454552,240.638
500008,241.357
550016,239.891
605024,239.423
665528,240.448
732088,242.055
805304,244.646
885840,244.865
974432,245.17
1071880,245.872
1179072,246.658
1296984,248.276
1426688,248.816
1569360,249.002
1726304,249.097
1898936,249.452
2088832,250.078
2297720,251.679
2527496,252.266
2780248,252.56
3058280,252.923
3364112,253.162
3700528,253.551
4070584,253.81
4477648,253.738
4925416,254.181
5417960,254.489
5959760,254.847
6555744,254.994
7211320,255.468
7932456,255.038
8725704,255.347
9598280,255.347
10558112,255.399
11613928,255.147
12775328,255.612
14052864,255.898
15458152,255.683
17003968,256.045
18704368,255.817
20574808,255.779
22632296,256.006
24895528,256.021
27385088,256.232
30123600,255.839
33135968,256.066
36449568,256.117
40094528,255.983
44103984,256.317
48514384,256.324
53365824,256.075
58702408,256.035
64572656,256.163
71029928,255.503
78132928,255.26
85946224,256.501
94540848,256.405
103994936,256.477
114394432,256.574
125833880,256.536
138417272,256.66
152259000,256.524
167484904,256.16
184233400,256.721
202656744,256.836
222922424,256.798
245214672,256.594
269736144,256.83
296709760,256.8
326380744,256.873
359018824,256.772
394920712,258.824
434412784,262.763
477854064,263.09
525639472,259.233
578203424,258.73
636023768,262.559
699626152,260.999
769588768,262.954
846547648,258.742
931202416,258.873
