Size,GB/s
10000,42.1725
11008,46.3406
12112,50.4578
13328,55.7709
14664,61.5936
16136,67.9864
17752,74.7783
19528,81.9192
21488,89.7969
23640,98.6377
26008,108.549
28616,119.614
31480,131.896
34632,145.274
38096,158.978
41912,169.339
46104,178.388
50720,190.216
55800,202.354
61384,213.104
67528,214.051
74288,225.955
81720,238.417
89896,241.466
98888,254.973
108784,256.069
119664,270.414
131632,272.995
144800,277.674
159288,289.121
175224,295.515
192752,298.715
212032,303.921
233240,309.669
256568,316.498
282232,321.684
310456,323.933
341504,277.582
375656,236.435
413224,223.74
454552,218.991
500008,221.198
550016,225.42
605024,224.984
665528,228.102
732088,229.004
805304,230.703
885840,231.421
974432,232.483
1071880,232.575
1179072,234.287
1296984,235.121
1426688,236.27
1569360,236.692
1726304,236.647
1898936,236.889
2088832,237.365
2297720,239.465
2527496,239.811
2780248,241.494
3058280,241.891
3364112,242.433
3700528,242.756
4070584,243.021
4477648,242.117
4925416,243.099
5417960,242.551
5959760,242.95
6555744,243.378
7211320,243.766
7932456,243.972
8725704,244.965
9598280,243.798
10558112,244.188
11613928,242.952
12775328,243.339
14052864,243.445
15458152,244.06
17003968,244.219
18704368,244.584
20574808,244.711
22632296,244.637
24895528,245.231
27385088,244.53
30123600,244.441
33135968,244.996
36449568,244.135
40094528,244.492
44103984,244.515
48514384,244.426
53365824,244.293
58702408,244.406
64572656,244.174
71029928,244.185
78132928,243.828
85946224,245.002
94540848,244.729
103994936,244.469
114394432,244.862
125833880,245.186
138417272,244.672
152259000,244.84
167484904,244.65
184233400,244.852
202656744,244.765
222922424,245.101
245214672,244.992
269736144,244.883
296709760,244.987
326380744,245.102
359018824,244.744
394920712,244.458
434412784,244.57
477854064,244.591
525639472,245.23
578203424,244.772
636023768,244.926
699626152,244.961
769588768,245.042
846547648,244.55
931202416,244.512
