Size,GB/s
10000,84.8309
11008,94.1058
12112,103.095
13328,114.048
14664,125.373
16136,137.546
17752,152.385
19528,166.742
21488,183.887
23640,200.928
26008,221.518
28616,245.93
31480,268.812
34632,296.007
38096,323.555
41912,357.516
46104,394.132
50720,430.613
55800,477.405
61384,516.446
67528,551.251
74288,588.371
81720,629.727
89896,647.193
98888,675.157
108784,717.083
119664,762.084
131632,799.763
144800,835.354
159288,872.456
175224,452.126
192752,236.907
212032,243.571
233240,247.976
256568,249.634
282232,255.013
310456,244.292
341504,235.809
375656,236.709
413224,234.529
454552,234.997
500008,239.559
550016,246.985
605024,248.034
665528,249.075
732088,249.58
805304,243.353
885840,245.634
974432,246.189
1071880,249.174
1179072,247.768
1296984,247.888
1426688,247.866
1569360,249.189
1726304,253.991
1898936,251.025
2088832,252.507
2297720,251.39
2527496,253.622
2780248,253.22
3058280,252.867
3364112,252.022
3700528,255.899
4070584,253.799
4477648,251.923
4925416,253.849
5417960,254.481
5959760,252.651
6555744,254.313
7211320,254.352
7932456,254.62
8725704,252.636
9598280,254.038
10558112,254.41
11613928,254.864
12775328,254.396
14052864,254.138
15458152,254.187
17003968,254.678
18704368,254.031
20574808,254.331
22632296,254.849
24895528,254.409
27385088,254.534
30123600,254.868
33135968,254.229
36449568,253.866
40094528,254.564
44103984,254.562
48514384,254.531
53365824,254.323
58702408,252.523
64572656,254.226
71029928,254.718
78132928,254.764
85946224,254.504
94540848,254.952
103994936,254.641
114394432,254.47
125833880,254.649
138417272,254.652
152259000,254.699
167484904,255.128
184233400,254.73
202656744,254.558
222922424,254.945
245214672,254.374
269736144,260.885
296709760,264.098
326380744,264.251
359018824,264.208
394920712,264.338
434412784,264.118
477854064,264.196
525639472,264.281
578203424,264.161
636023768,264.37
699626152,7.0
769588768,7.0
846547648,7.0
931202416,7.0
