Size,GB/s
10000,10.3583
11008,10.4086
12112,10.5938
13328,10.7131
14664,10.7707
16136,10.8584
17752,10.9544
19528,11.0133
21488,11.0698
23640,11.0999
26008,11.15
28616,11.2106
31480,11.2661
34632,11.2871
38096,11.3392
41912,11.3316
46104,11.3755
50720,11.4149
55800,11.4396
61384,11.4472
67528,11.4777
74288,11.4801
81720,11.5635
89896,11.5851
98888,11.5883
108784,11.5931
119664,11.6036
131632,11.5932
144800,11.6167
159288,11.6115
175224,11.6168
192752,11.6216
212032,11.6246
233240,11.6364
256568,11.6233
282232,11.6649
310456,11.6673
341504,11.6228
375656,11.3944
413224,11.5302
454552,11.3178
500008,11.5476
550016,10.2396
605024,10.4384
665528,10.1193
732088,10.2146
805304,10.308
885840,10.2141
974432,10.2129
1071880,11.187
1179072,11.1099
1296984,11.1595
1426688,11.1629
1569360,11.122
1726304,10.9287
1898936,10.8288
2088832,10.7949
2297720,10.8922
2527496,10.8985
2780248,10.9545
3058280,11.0623
3364112,10.8607
3700528,11.2921
4070584,11.2098
4477648,10.9276
4925416,10.8205
5417960,11.0115
5959760,11.028
6555744,11.0205
7211320,10.6915
7932456,11.0365
8725704,11.0291
9598280,10.8287
10558112,10.9576
11613928,11.0153
12775328,10.8765
14052864,10.9205
15458152,10.8192
17003968,11.0423
18704368,10.7501
20574808,10.8607
22632296,10.6786
24895528,11.0536
27385088,10.9774
30123600,10.943
33135968,11.0526
36449568,10.9215
40094528,10.9603
44103984,10.8654
48514384,11.0188
53365824,10.7755
58702408,10.7776
64572656,10.9978
71029928,10.7146
78132928,10.8111
85946224,10.77
94540848,10.887
103994936,10.9074
114394432,10.9813
125833880,10.9445
138417272,10.9094
152259000,10.9272
167484904,10.5626
184233400,10.6325
202656744,10.8165
222922424,10.8352
245214672,10.9104
269736144,11.0239
296709760,10.8307
326380744,10.8685
359018824,10.9456
394920712,10.891
434412784,10.8702
477854064,10.5922
525639472,10.9929
578203424,10.9892
636023768,10.8827
699626152,10.9705
769588768,10.8097
846547648,10.9437
931202416,10.9905
