Size,GB/s
8,15.9264
16,16.8637
24,17.2011
32,17.3749
40,14.3342
48,14.8281
56,15.2032
64,15.4965
72,15.7328
80,15.9273
96,16.2278
112,16.4499
128,16.6201
144,16.7546
160,16.8636
184,16.9948
208,17.0961
232,17.1777
256,17.2452
288,17.3171
320,17.3752
360,17.4341
400,17.4814
448,17.5272
496,17.564
552,17.5997
608,17.628
672,17.6556
744,17.6808
824,17.7023
912,17.724
1008,17.7415
1112,17.7583
1224,17.7729
1352,17.7857
1488,17.798
1640,17.8084
1808,17.8184
1992,17.8276
2192,17.8349
2416,17.8423
2664,17.8485
2936,17.7762
3232,17.812
3560,17.8036
3920,17.8205
4320,17.8261
4760,17.8199
5240,17.8333
5768,17.8246
6352,17.8406
6992,17.8384
7696,17.7872
8472,17.8399
9320,17.847
10256,17.3945
11288,17.3884
12424,17.8299
13672,17.8099
15040,17.7107
16552,17.6783
18208,17.6735
20032,17.6689
22040,17.6141
24248,17.5112
26680,17.4123
29352,17.4141
32288,17.3742
35520,17.2454
39080,17.1738
42992,17.1741
47296,17.1525
52032,17.156
57240,17.1583
62968,17.157
69272,17.1515
76200,17.157
83824,17.1537
92208,17.159
101432,17.1482
111576,17.1523
122736,17.1517
135016,17.1488
148520,17.1358
163376,17.1379
179720,17.1083
197696,16.9671
217472,16.9199
239224,16.878
263152,16.8787
289472,16.8873
318424,16.8826
350272,16.887
385304,16.8865
423840,16.8827
466232,16.8823
512856,16.8821
564144,16.8869
620560,16.8866
682624,16.8875
750888,16.8599
825984,16.8891
908584,16.8132
999448,16.7238
1099400,16.636
1209344,16.2624
1330280,15.9778
1463312,15.2878
1609648,14.8974
1770616,14.2481
1947680,13.6587
2142456,13.2192
2356704,12.8447
2592376,12.6613
2851616,12.5513
3136784,12.5255
3450464,12.4463
3795512,12.421
4175064,12.4025
4592576,12.4003
5051840,12.4046
5557032,12.401
6112736,12.3862
6724016,12.4071
7396424,12.4189
8136072,12.3951
8949680,12.4026
9844656,12.3929
10829128,12.4176
11912048,12.3863
13103256,12.3999
14413584,12.3955
15854944,12.3907
17440440,12.4157
19184488,12.3962
21102944,12.3872
23213240,12.3935
25534568,12.3916
28088032,12.3945
30896840,12.394
33986528,12.3978
37385184,12.406
41123704,12.4192
45236080,12.4263
49759696,12.3915
54735672,12.3919
60209240,12.3871
66230168,12.3975
72853192,12.3935
80138512,12.3889
88152368,12.3885
96967608,12.393
